Tokens gerados pelo Lexer:
1 ('SEQ', 'SEQ')
201 ('INTEGER', '5')
202 ('RPAREN', ')')
203 ('SEMI', ';')
204 ('PRINT', 'print')
205 ('LPAREN', '(')
206 ('IDENTIFIER', 'a')
207 ('RPAREN', ')')
208 ('SEMI', ';')
209 ('PRINT', 'print')
210 ('LPAREN', '(')
211 ('IDENTIFIER', 'g')
212 ('RPAREN', ')')
213 ('SEMI', ';')
214 ('RBRACE', '}')
215 ('SEQ', 'SEQ')
216 ('LBRACE', '{')
217 ('IDENTIFIER', 'b')
218 ('ASSIGN', '=')
219 ('FACTORIAL', 'factorial')
220 ('LPAREN', '(')
221 ('INTEGER', '4')
222 ('RPAREN', ')')
223 ('SEMI', ';')
224 ('PRINT', 'print')
225 ('LPAREN', '(')
226 ('IDENTIFIER', 'b')
227 ('RPAREN', ')')
228 ('SEMI', ';')
229 ('RBRACE', '}')
230 ('PAR', 'PAR')
231 ('LBRACE', '{')
232 ('PRINT', 'print')
233 ('LPAREN', '(')
234 ('STRING', 'This is parallel process 1')
235 ('RPAREN', ')')
236 ('SEMI', ';')
237 ('PRINT', 'print')
238 ('LPAREN', '(')
239 ('STRING', 'This is parallel process 2')
240 ('RPAREN', ')')
241 ('SEMI', ';')
242 ('RBRACE', '}')
243 ('SEQ', 'SEQ')
244 ('LBRACE', '{')
245 ('IDENTIFIER', 'r_fatorial')
246 ('ASSIGN', '=')
247 ('FACTORIAL', 'factorial')
248 ('LPAREN', '(')
249 ('INTEGER', '7')
250 ('RPAREN', ')')
251 ('SEMI', ';')
252 ('PRINT', 'print')
253 ('LPAREN', '(')
254 ('STRING', 'Fatorial de 7:')
255 ('RPAREN', ')')
256 ('SEMI', ';')
257 ('PRINT', 'print')
258 ('LPAREN', '(')
259 ('IDENTIFIER', 'r_fatorial')
260 ('RPAREN', ')')
261 ('SEMI', ';')
262 ('RBRACE', '}')
263 ('SEQ', 'SEQ')
264 ('LBRACE', '{')
265 ('IDENTIFIER', 'r_fibonacci')
266 ('ASSIGN', '=')
267 ('FIBONACCI', 'fibonacci')
268 ('LPAREN', '(')
269 ('INTEGER', '10')
270 ('RPAREN', ')')
271 ('SEMI', ';')
272 ('PRINT', 'print')
273 ('LPAREN', '(')
274 ('STRING', 'Termo 10 da S?rie de Fibonacci:')
275 ('RPAREN', ')')
276 ('SEMI', ';')
277 ('PRINT', 'print')
278 ('LPAREN', '(')
279 ('IDENTIFIER', 'r_fibonacci')
280 ('RPAREN', ')')
281 ('SEMI', ';')
282 ('RBRACE', '}')
